iter	Logloss
0	0.6495998636
1	0.6121792908
2	0.5844040117
3	0.5603542696
4	0.541011026
5	0.5205433455
6	0.5064347965
7	0.4915675235
8	0.481762804
9	0.4712760499
10	0.4623893908
11	0.453706986
12	0.4494761051
13	0.4436804091
14	0.4376072282
15	0.4322887258
16	0.427906886
17	0.4253516452
18	0.4219374923
19	0.4196469543
20	0.417775128
21	0.4156100008
22	0.4132868058
23	0.4111847254
24	0.4098756472
25	0.4083610718
26	0.4066364534
27	0.4055636236
28	0.4044723133
29	0.4028229138
30	0.4013732593
31	0.4001515481
32	0.3988297155
33	0.3978971497
34	0.3974364068
35	0.3967287374
36	0.3963419884
37	0.3960568802
38	0.3951889709
39	0.394711843
40	0.3943563752
41	0.393740908
42	0.3932792278
43	0.3929258525
44	0.3918642205
45	0.3912615988
46	0.390971147
47	0.3904112056
48	0.3897541487
49	0.3894623202
